nuts1;daily smoker; occasional smoker; ex-smoker; non-smoker
AndalucÃ­a;1584.1;186.4;1681.6;3536.2
AragC3n;266.1;22.9;290.7;523.4
Principado de Asturias;216.3;35.8;203.7;453.9
Islas Baleares;222.5;42.4;240.5;458.5
Islas Canarias;409.3;29.8;375.9;1021.1
Cantabria;113.3;9.2;83.8;289.0
Castilla y LeÃ³n;473.1;44.9;551.9;1014.2
Castilla-La Mancha;417.2;41.9;404.8;835.5
CataluÃ±a;1388.7;110.6;1534.6;3130.0
Comunidad Valenciana;1029.2;86.4;850.5;2190.1
Extremadura;219.1;20.6;256.8;420.2
Galicia;421.9;11.7;656.5;1275.6
Comunidad de Madrid;1022.8;170.0;1520.8;2668.7
RegiÃ³n de Murcia;280.7;33.1;275.4;617.9
Comunidad Foral de Navarra;108.3;15.4;160.4;246.8
PaÃ­s Vasco;363.3;41.4;569.2;861.1
La Rioja;52.6;9.2;56.1;143.7
Ceuta y Melilla;16.1;0.8;8.5;40.9
Ceuta y Melilla;12.3;1.4;7.5;41.8   